City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Lorengau,PG,79.09,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
124,Waingapu,ID,79.11,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
130,Harper,LR,79.52,broken clouds,4.375,-7.7169,Screensaver
139,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
141,Cairns,AU,89.94,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
142,Vayalar,IN,75.18,clear sky,9.7,76.3333,Vasundhara Sarovar Premiere
145,Hilo,US,78.12,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
148,Namatanai,PG,82.63,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
152,Rabaul,PG,81.73,overcast clouds,-4.1967,152.1721,Rabaul Hotel
157,Lazaro Cardenas,MX,82.63,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
161,Caramay,PH,76.55,scattered clouds,10.1815,119.236,Peace and Love Beach Club
173,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
178,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Hotel Fórum
182,Bengkulu,ID,75.49,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
188,Ternate,ID,80.11,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
193,Mackay,AU,85.68,scattered clouds,-21.15,149.2,International Lodge Motel
204,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
206,Bambous Virieux,MU,79.05,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
209,Cabo San Lucas,MX,79.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
221,Paso De Los Toros,UY,76.59,clear sky,-32.8167,-56.5167,Complejo Isabelino
222,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
223,Kavieng,PG,82.11,light rain,-2.5744,150.7967,Nusa Island Retreat
224,Dom Pedrito,BR,76.64,clear sky,-30.9828,-54.6731,Hotel Alexandre
228,Bandarbeyla,SO,75.2,overcast clouds,9.4942,50.8122,JABIR HOTEL
232,Souillac,MU,79.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
235,Muli,MV,81.95,broken clouds,2.9167,73.5667,Medhufushi Island Resort
236,Manokwari,ID,79.09,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
242,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
243,Itarema,BR,77.04,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
245,Vanimo,PG,76.78,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
251,Santa Isabel Do Rio Negro,BR,76.66,overcast clouds,-0.4139,-65.0192,Hotel GSA
253,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
266,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
268,Wonthaggi,AU,76.42,scattered clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
270,Dingle,PH,75.38,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
271,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
272,Kulhudhuffushi,MV,81.19,few clouds,6.6221,73.07,Haajy Guest House 1
275,Yeppoon,AU,80.38,scattered clouds,-23.1333,150.7333,Villa Mar Colina
279,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
281,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
282,Sorong,ID,82.31,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
298,El Viejo,NI,86.22,scattered clouds,12.6633,-87.1672,Hotel El Viejo Inn
299,Sinnamary,GF,76.51,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
304,Mareeba,AU,81.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
