City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
81,Meulaboh,ID,2022-01-26 04:13:16,4.1363,96.1285,84.24,67,75,1.14
82,Damghan,IR,2022-01-26 04:13:17,36.1683,54.348,33.15,36,19,1.43
83,Avarua,CK,2022-01-26 04:13:18,-21.2078,-159.775,80.65,83,75,8.05
84,Hilo,US,2022-01-26 04:10:53,19.7297,-155.09,74.93,80,40,4.61
85,Adrar,MR,2022-01-26 04:13:19,20.5022,-10.0711,63.18,18,100,4.21
86,Acari,PE,2022-01-26 04:14:20,-15.4311,-74.6158,73.13,78,51,4.18
87,Mlonggo,ID,2022-01-26 04:14:21,-6.5333,110.7,82.29,82,100,14.14
88,Asau,RO,2022-01-26 04:14:22,46.4333,26.4,25.72,76,97,7.87
89,Wewak,PG,2022-01-26 04:14:22,-3.5534,143.6268,84.06,72,79,6.71
90,Lethem,GY,2022-01-26 04:14:23,3.3803,-59.7968,77.67,74,97,12.44
91,Mount Gambier,AU,2022-01-26 04:14:23,-37.8333,140.7667,78.84,58,100,9.93
92,El Alto,PE,2022-01-26 04:14:24,-4.2714,-81.2147,70.47,82,99,7.0
93,Ponta Delgada,PT,2022-01-26 04:14:25,37.7333,-25.6667,58.5,82,75,8.05
94,Udachnyy,RU,2022-01-26 04:14:25,66.4167,112.4,3.45,84,100,4.21
95,Kapaa,US,2022-01-26 04:14:03,22.0752,-159.319,75.18,72,20,1.99
96,Ostrovnoy,RU,2022-01-26 04:14:10,68.0531,39.5131,15.94,87,23,19.01
97,Coari,BR,2022-01-26 04:14:27,-4.085,-63.1414,74.59,97,100,2.71
98,Balaguer,ES,2022-01-26 04:14:27,41.7912,0.8109,29.88,67,0,2.71
99,Burnie,AU,2022-01-26 04:14:28,-41.0667,145.9167,71.94,69,44,13.31
100,Thinadhoo,MV,2022-01-26 04:14:28,0.5333,72.9333,81.16,65,98,16.62
101,Helena,US,2022-01-26 04:11:29,46.5927,-112.0361,31.19,61,0,6.91
102,Tiksi,RU,2022-01-26 04:14:29,71.6872,128.8694,-1.62,94,100,13.58
103,East London,ZA,2022-01-26 04:14:30,-33.0153,27.9116,70.74,100,100,2.3
104,Cobija,BO,2022-01-26 04:14:31,-11.0267,-68.7692,70.63,96,98,2.15
105,Acarau,BR,2022-01-26 04:14:31,-2.8856,-40.12,79.93,77,85,12.53
106,Lagoa,PT,2022-01-26 04:14:32,39.05,-27.9833,58.51,83,100,9.19
107,Papar,MY,2022-01-26 04:14:33,5.7333,115.9333,86.0,78,89,3.22
108,Katsuura,JP,2022-01-26 04:14:34,35.1333,140.3,46.42,87,100,12.66
109,Kavieng,PG,2022-01-26 04:14:34,-2.5744,150.7967,84.2,73,92,7.11
110,Kaitangata,NZ,2022-01-26 04:14:35,-46.2817,169.8464,52.03,92,99,8.75
111,Mahon,ES,2022-01-26 04:14:35,39.8885,4.2658,43.36,93,75,4.61
112,Cape Town,ZA,2022-01-26 04:10:23,-33.9258,18.4232,66.34,84,13,5.01
113,Henties Bay,NA,2022-01-26 04:14:36,-22.116,14.2845,67.86,91,30,10.89
114,Astoria,US,2022-01-26 04:14:37,46.1879,-123.8313,44.85,85,0,7.0
115,Belmonte,BR,2022-01-26 04:14:38,-15.8631,-38.8828,77.5,87,100,7.76
116,Carnarvon,AU,2022-01-26 04:14:38,-24.8667,113.6333,84.27,54,0,17.27
117,Khatanga,RU,2022-01-26 04:14:39,71.9667,102.5,-5.78,87,37,11.01
118,Salalah,OM,2022-01-26 04:14:39,17.0151,54.0924,64.49,36,0,3.44
119,Novyy Urengoy,RU,2022-01-26 04:14:40,66.0833,76.6333,-0.58,97,100,17.6
120,Merauke,ID,2022-01-26 04:14:41,-8.4667,140.3333,85.64,68,99,7.94
121,Ambilobe,MG,2022-01-26 04:14:41,-13.2,49.05,74.8,89,100,1.7
122,Tuktoyaktuk,CA,2022-01-26 04:14:42,69.4541,-133.0374,10.4,85,100,34.52
123,Ilulissat,GL,2022-01-26 04:14:42,69.2167,-51.1,12.22,57,100,33.38
124,Katakwi,UG,2022-01-26 04:14:43,1.8911,33.9661,68.18,45,9,5.53
125,Hofn,IS,2022-01-26 04:14:44,64.2539,-15.2082,30.65,59,56,17.94
126,San Patricio,US,2022-01-26 04:14:44,28.017,-97.5169,57.07,84,0,8.37
127,Copiapo,CL,2022-01-26 04:14:45,-27.3667,-70.3333,65.32,74,0,1.39
128,Aksarka,RU,2022-01-26 04:14:45,66.5606,67.7975,12.81,95,100,12.3
129,Karratha,AU,2022-01-26 04:14:46,-20.7377,116.8463,89.4,56,0,13.76
130,Chokurdakh,RU,2022-01-26 04:14:47,70.6333,147.9167,-33.14,100,100,7.14
131,Norman Wells,CA,2022-01-26 04:14:47,65.282,-126.8329,34.38,78,100,19.95
132,Saint-Augustin,CA,2022-01-26 04:13:38,51.226,-58.6502,8.96,95,100,12.88
133,Isangel,VU,2022-01-26 04:14:48,-19.55,169.2667,85.33,71,18,4.25
134,Saraland,US,2022-01-26 04:15:49,30.8207,-88.0706,47.5,93,29,6.42
135,Bandarbeyla,SO,2022-01-26 04:15:50,9.4942,50.8122,72.28,66,31,16.2
136,Murbad,IN,2022-01-26 04:15:50,19.25,73.4,70.81,31,4,3.0
137,Clarence Town,AU,2022-01-26 04:15:51,-32.5833,151.7833,82.35,57,98,8.37
138,Talcahuano,CL,2022-01-26 04:15:21,-36.7167,-73.1167,58.68,82,0,6.91
139,Esperance,AU,2022-01-26 04:15:52,-33.8667,121.9,69.71,71,68,14.05
140,Erzin,TR,2022-01-26 04:15:53,36.9559,36.2,38.12,87,100,5.97
141,Lavrentiya,RU,2022-01-26 04:11:13,65.5833,-171.0,-21.68,87,15,5.41
142,Saskylakh,RU,2022-01-26 04:15:54,71.9167,114.0833,9.52,84,100,19.22
143,Wau,SS,2022-01-26 04:15:55,7.7029,27.9953,70.09,27,65,5.01
144,Torbay,CA,2022-01-26 04:15:56,47.6666,-52.7314,29.26,89,100,6.91
145,Coihaique,CL,2022-01-26 04:13:48,-45.5752,-72.0662,51.75,71,0,3.44
146,Lisakovsk,KZ,2022-01-26 04:15:57,52.5369,62.4936,-1.03,94,24,6.6
147,Bangad,PH,2022-01-26 04:15:57,15.5036,121.0275,82.96,61,67,9.33
148,Nome,US,2022-01-26 04:14:54,64.5011,-165.4064,-11.13,77,0,5.75
149,Tumpat,MY,2022-01-26 04:15:58,6.1978,102.171,86.05,70,40,6.91
150,Muriae,BR,2022-01-26 04:15:59,-21.1306,-42.3664,68.74,97,4,1.95
151,High Level,CA,2022-01-26 04:15:16,58.5169,-117.136,37.51,87,40,11.5
152,Poum,NC,2022-01-26 04:16:00,-20.2333,164.0167,80.82,73,38,12.01
153,Maragogi,BR,2022-01-26 04:16:01,-9.0122,-35.2225,77.47,82,71,8.43
154,Aklavik,CA,2022-01-26 04:16:01,68.2191,-135.0107,14.83,89,95,20.2
155,Kirakira,SB,2022-01-26 04:16:02,-10.4544,161.9205,85.66,71,80,11.83
156,Curup,ID,2022-01-26 04:16:03,-3.4667,102.5333,72.93,89,100,1.72
157,Gamba,GA,2022-01-26 04:16:04,-2.65,10.0,74.25,91,78,4.99
158,Marzuq,YE,2022-01-26 04:16:04,14.4,46.4667,57.6,33,0,1.97
