City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Sitka,US,57.0531,-135.33,37.29,81,100,5.75,overcast clouds
132,Kelvington,CA,52.1667,-103.5343,22.66,96,36,5.17,scattered clouds
133,Maxixe,MZ,-23.8597,35.3472,73.54,85,54,6.22,broken clouds
134,Tasiilaq,GL,65.6145,-37.6368,8.76,53,97,10.58,overcast clouds
135,Coquimbo,CL,-29.9533,-71.3436,67.73,72,0,13.8,clear sky
136,Port Elizabeth,ZA,-33.918,25.5701,70.09,94,20,11.5,few clouds
137,Ilmajoki,FI,62.7333,22.5667,20.98,70,100,10.36,overcast clouds
138,Codrington,AU,-38.2667,141.9667,71.51,76,59,4.88,broken clouds
139,Cayenne,GF,4.9333,-52.3333,77.09,91,75,1.99,broken clouds
140,La Ronge,CA,55.1001,-105.2842,12.45,79,100,5.75,overcast clouds
141,Cairns,AU,-16.9167,145.7667,89.94,77,100,3.44,overcast clouds
142,Vayalar,IN,9.7,76.3333,75.18,83,5,4.43,clear sky
143,Kenai,US,60.5544,-151.2583,23.09,92,0,5.75,clear sky
144,Sirsilla,IN,18.3833,78.8333,62.44,26,0,2.98,clear sky
145,Hilo,US,19.7297,-155.09,78.12,59,40,8.05,scattered clouds
146,Ouango,CF,4.3133,22.5552,68.47,35,81,2.71,broken clouds
147,Fortuna,US,40.5982,-124.1573,60.42,76,20,1.01,few clouds
148,Namatanai,PG,-3.6667,152.4333,82.63,74,100,3.94,overcast clouds
149,Aromashevo,RU,56.8602,68.6375,6.8,95,100,6.13,overcast clouds
150,Vardo,NO,70.3705,31.1107,28.15,62,98,12.95,overcast clouds
151,Alofi,NU,-19.0595,-169.9187,73.29,94,100,3.44,overcast clouds
152,Rabaul,PG,-4.1967,152.1721,81.73,73,100,4.34,overcast clouds
153,Diego De Almagro,CL,-26.3667,-70.05,69.01,41,0,9.35,clear sky
154,Marsa Matruh,EG,31.3525,27.2453,50.2,87,40,13.8,scattered clouds
155,Mbuji-Mayi,CD,-6.15,23.6,67.23,92,93,2.15,light rain
156,Coihaique,CL,-45.5752,-72.0662,56.01,47,40,8.05,scattered clouds
157,Lazaro Cardenas,MX,17.9583,-102.2,82.63,52,0,10.92,clear sky
158,Verkhnevilyuysk,RU,63.4453,120.3167,-24.43,100,41,3.89,scattered clouds
159,Laksham,BD,23.2472,91.1425,54.52,65,3,4.14,clear sky
160,Whitehorse,CA,60.7161,-135.0538,7.81,71,75,8.99,light snow
161,Caramay,PH,10.1815,119.236,76.55,85,29,2.59,scattered clouds
162,Deputatskiy,RU,69.3,139.9,-25.17,100,67,2.01,broken clouds
163,Ginir,ET,7.1333,40.7,56.52,19,83,5.03,broken clouds
164,Batagay,RU,67.6333,134.6333,-35.82,99,58,1.14,broken clouds
165,Te Anau,NZ,-45.4167,167.7167,69.71,65,25,1.05,scattered clouds
166,Half Moon Bay,US,37.4636,-122.4286,67.41,71,0,3.0,haze
167,Okhotsk,RU,59.3833,143.3,13.28,74,100,16.98,overcast clouds
168,Ambilobe,MG,-13.2,49.05,73.85,94,73,1.03,broken clouds
169,Barrow,US,71.2906,-156.7887,-7.58,84,100,10.36,snow
170,Andra,RU,62.5147,65.8878,-8.84,100,100,2.53,overcast clouds
171,Vilhena,BR,-12.7406,-60.1458,70.02,100,75,17.27,moderate rain
172,Tahta,EG,26.7693,31.5021,48.52,49,1,5.39,clear sky
173,Talara,PE,-4.5772,-81.2719,77.76,65,0,12.66,clear sky
174,Lebu,CL,-37.6167,-73.65,59.13,68,0,20.71,clear sky
175,Abreus,CU,22.2775,-80.5675,68.31,47,0,12.24,clear sky
176,San Quintin,MX,30.4833,-115.95,64.02,49,1,9.98,clear sky
177,Ribeira Grande,PT,38.5167,-28.7,59.04,74,56,25.68,broken clouds
178,Luanda,AO,-8.8368,13.2343,78.8,83,75,9.22,broken clouds
179,Mariel,CU,22.9875,-82.7536,59.25,60,10,13.51,light rain
180,Esperance,AU,-33.8667,121.9,66.04,80,38,16.6,scattered clouds
181,Synya,RU,65.3718,58.0387,11.71,91,100,7.74,overcast clouds
182,Bengkulu,ID,-3.8004,102.2655,75.49,89,99,4.18,heavy intensity rain
183,Bongandanga,CD,1.5,21.05,71.04,34,93,2.53,overcast clouds
184,Hermanus,ZA,-34.4187,19.2345,71.91,86,97,12.84,overcast clouds
185,Komsomolskiy,UZ,40.4272,71.7189,29.62,86,100,2.3,mist
186,Hingatungan,PH,10.584,125.1852,78.48,86,70,1.5,broken clouds
187,Dubovka,RU,49.0583,44.829,31.15,94,100,9.69,overcast clouds
188,Ternate,ID,0.8,127.4,80.11,77,100,10.13,overcast clouds
189,Streletskoye,RU,50.6371,36.4729,31.01,93,100,8.95,overcast clouds
190,Barcelos,PT,41.5388,-8.6151,49.84,64,1,3.47,clear sky
191,Aripuana,BR,-9.1667,-60.6333,72.52,99,100,1.97,light rain
192,Qaqortoq,GL,60.7167,-46.0333,21.7,69,100,20.18,light snow
193,Mackay,AU,-21.15,149.2,85.68,74,40,12.66,scattered clouds
194,Upernavik,GL,72.7868,-56.1549,-3.35,94,100,4.0,overcast clouds
195,Kokstad,ZA,-30.5472,29.4241,61.59,95,100,3.38,overcast clouds
196,Nuuk,GL,64.1835,-51.7216,12.81,67,40,18.41,scattered clouds
197,Sai Buri,TH,6.7013,101.6168,71.31,89,47,5.88,scattered clouds
198,Cody,US,44.5263,-109.0565,44.64,36,0,11.5,clear sky
199,Normandin,CA,48.8333,-72.5321,5.31,61,86,12.66,overcast clouds
200,Constitucion,CL,-35.3333,-72.4167,63.43,70,4,18.39,clear sky
201,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,80,57,15.08,broken clouds
202,Leningradskiy,RU,69.3833,178.4167,-14.48,95,81,3.74,broken clouds
203,Searcy,US,35.2506,-91.7363,64.4,19,0,6.91,clear sky
204,Georgetown,MY,5.4112,100.3354,79.9,94,20,3.0,few clouds
205,Broome,US,42.2506,-75.833,19.98,62,75,6.91,broken clouds
206,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,75,11.5,light intensity shower rain
207,Hobart,AU,-42.8794,147.3294,72.1,72,20,5.75,few clouds
208,Guerrero Negro,MX,27.9769,-114.0611,64.17,54,92,14.05,overcast clouds
209,Cabo San Lucas,MX,22.8909,-109.9124,79.61,67,83,1.01,broken clouds
210,Sabinas,MX,27.85,-101.1167,67.77,33,45,11.3,scattered clouds
211,Nikolskoye,RU,59.7035,30.7861,27.39,96,100,5.7,snow
212,Urubicha,BO,-15.3833,-62.95,73.15,98,41,3.83,scattered clouds
213,Mount Gambier,AU,-37.8333,140.7667,62.51,100,100,4.61,mist
214,Manicore,BR,-5.8092,-61.3003,73.47,93,99,1.9,overcast clouds
215,Sorland,NO,67.667,12.6934,30.27,45,86,6.02,overcast clouds
216,Leshukonskoye,RU,64.8989,45.7622,8.83,95,100,5.59,overcast clouds
217,Puerto Del Rosario,ES,28.5004,-13.8627,65.88,68,0,11.5,haze
218,Pativilca,PE,-10.7,-77.7833,71.24,80,100,7.56,overcast clouds
219,Salalah,OM,17.0151,54.0924,69.89,73,0,5.75,clear sky
220,Palmer,US,42.1584,-72.3287,21.81,34,20,6.91,few clouds
221,Paso De Los Toros,UY,-32.8167,-56.5167,76.59,41,0,5.86,clear sky
222,Saint-Joseph,RE,-21.3667,55.6167,75.58,81,25,11.39,scattered clouds
223,Kavieng,PG,-2.5744,150.7967,82.11,74,91,2.3,light rain
224,Dom Pedrito,BR,-30.9828,-54.6731,76.64,54,6,10.51,clear sky
225,Pinega,RU,64.7001,43.3936,9.27,96,100,4.18,overcast clouds
226,Itaituba,BR,-4.2761,-55.9836,74.19,92,100,0.56,light rain
227,Waipawa,NZ,-41.4122,175.5153,71.92,64,69,8.59,broken clouds
228,Bandarbeyla,SO,9.4942,50.8122,75.2,77,97,15.3,overcast clouds
229,Appleton,US,44.2619,-88.4154,28.49,61,100,0.0,overcast clouds
230,Airai,TL,-8.9266,125.4092,63.84,84,85,4.61,overcast clouds
231,West Odessa,US,31.8424,-102.4988,67.69,27,0,9.22,clear sky
232,Souillac,MU,-20.5167,57.5167,79.18,94,75,11.5,light intensity shower rain
233,Borogontsy,RU,62.6683,131.1683,-37.79,100,72,0.4,broken clouds
234,Berlevag,NO,70.8578,29.0864,30.2,93,100,6.91,overcast clouds
235,Muli,MV,2.9167,73.5667,81.95,74,52,12.88,broken clouds
236,Manokwari,ID,-0.8667,134.0833,79.09,74,100,9.51,overcast clouds
237,Zlobin,HR,45.2924,14.6541,37.62,87,0,3.44,clear sky
238,Erenhot,CN,43.6475,111.9767,4.15,88,100,16.93,overcast clouds
239,Huarmey,PE,-10.0681,-78.1522,71.69,82,100,8.95,overcast clouds
240,Laguna,US,38.421,-121.4238,65.41,54,0,1.01,clear sky
241,Pangnirtung,CA,66.1451,-65.7125,-21.53,83,92,6.22,overcast clouds
242,Touros,BR,-5.1989,-35.4608,81.5,78,19,12.21,few clouds
243,Itarema,BR,-2.9248,-39.9167,77.04,83,100,8.86,overcast clouds
244,Pevek,RU,69.7008,170.3133,-15.7,97,96,2.19,overcast clouds
245,Vanimo,PG,-2.6741,141.3028,76.78,89,100,7.4,overcast clouds
246,Ponta Do Sol,PT,32.6667,-17.1,65.12,40,1,9.64,clear sky
247,Xinzhi,CN,36.4989,111.7047,23.54,45,0,8.12,clear sky
248,Kysyl-Syr,RU,63.8986,122.7617,-27.54,100,99,3.6,overcast clouds
249,Aykhal,RU,66.0,111.5,-21.84,100,91,3.91,overcast clouds
250,Verkhnyaya Inta,RU,65.9811,60.3094,-3.03,96,100,5.48,overcast clouds
251,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.66,86,96,2.62,overcast clouds
